loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
1.621706247329712,0.5600895285606384,0.7790340185165405,0.4666610062122345,0.5797745585441589,0.8186224699020386,0.9242706298828125,0.7596938610076904
0.5952428579330444,0.8153249025344849,0.8995013236999512,0.7667261958122253,0.4285782277584076,0.8635203838348389,0.933623194694519,0.8216836452484131
0.4287521541118622,0.8657938838005066,0.9187794923782349,0.8328090906143188,0.32768645882606506,0.8982142806053162,0.9551227688789368,0.863265335559845
0.36911624670028687,0.8845532536506653,0.9283723831176758,0.8590778708457947,0.1521378606557846,0.9494897723197937,0.9761329889297485,0.9285714030265808
0.2960948646068573,0.9068548083305359,0.9384154677391052,0.8877837061882019,0.1506422758102417,0.955867350101471,0.9712553024291992,0.9395408034324646
0.26911768317222595,0.9163762331008911,0.9423974752426147,0.8980135321617126,0.13742579519748688,0.9556122422218323,0.9731012582778931,0.9413265585899353
0.24090127646923065,0.9234039187431335,0.9462302327156067,0.9075915813446045,0.22466371953487396,0.9323979616165161,0.9628132581710815,0.9114795923233032
0.23245956003665924,0.9258409142494202,0.948435366153717,0.9121255874633789,0.12325417995452881,0.9632652997970581,0.9794682860374451,0.949234664440155
0.21006597578525543,0.9340021014213562,0.9526346325874329,0.9221570491790771,0.1226179227232933,0.9581632614135742,0.975256621837616,0.9451530575752258
0.18815533816814423,0.9403780102729797,0.956807017326355,0.9296664595603943,0.08989553898572922,0.9709183573722839,0.9812889695167542,0.9632652997970581
